area,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
高山,4月21日,4月6日,4月10日,4月19日,4月21日,4月14日,4月8日,4月12日,4月15日,4月16日,4月17日,4月12日,4月25日,4月16日,4月13日,4月16日,4月15日,4月24日,4月14日,4月10日,4月12日,4月20日,4月18日,4月15日,4月15日,4月24日,4月9日,4月19日,4月23日,4月17日,4月14日,4月28日,4月15日,4月21日,4月15日,4月22日,4月9日,4月9日,4月15日,4月10日,4月21日,4月18日,4月18日,4月25日,4月14日,4月10日,4月13日,4月21日,4月12日,4月5日,4月17日,4月10日,4月17日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
松本,4月11日,4月7日,4月8日,4月15日,4月17日,4月8日,4月5日,4月8日,4月14日,4月14日,4月15日,4月13日,4月25日,4月14日,4月12日,4月14日,4月14日,4月21日,4月14日,4月8日,4月13日,4月17日,4月15日,4月14日,4月13日,4月18日,4月6日,4月14日,4月14日,4月10日,4月12日,4月24日,4月14日,4月18日,4月8日,4月19日,4月4日,4月4日,4月10日,4月6日,4月14日,4月14日,4月14日,4月19日,4月5日,4月8日,4月5日,4月13日,4月8日,3月30日,4月13日,4月2日,4月9日,4月12日,4月1日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
前橋,4月3日,3月29日,3月29日,4月6日,4月6日,4月1日,3月24日,3月27日,4月2日,4月2日,4月2日,4月5日,4月8日,3月25日,3月31日,4月2日,4月7日,4月11日,4月1日,3月30日,4月3日,4月6日,4月4日,3月29日,3月28日,4月10日,3月28日,4月5日,3月30日,3月27日,4月5日,4月15日,4月5日,4月8日,3月26日,4月5日,3月26日,3月24日,3月31日,3月26日,3月27日,4月2日,4月5日,4月4日,3月28日,3月29日,3月26日,4月4日,3月26日,3月20日,3月31日,3月26日,4月6日,3月28日,3月28日,3月26日,3月30日,4月1日,4月3日,4月8日,3月22日,3月29日,3月28日,3月23日,4月2日,3月25日,3月27日
熊谷,4月1日,3月30日,3月30日,4月4日,4月7日,4月1日,3月26日,3月28日,4月3日,4月2日,4月4日,4月4日,4月6日,3月27日,4月1日,4月2日,4月5日,4月10日,4月2日,3月28日,4月1日,4月6日,4月1日,3月30日,3月28日,4月8日,3月27日,4月5日,3月30日,3月28日,4月4日,4月14日,4月4日,4月6日,3月25日,4月4日,3月26日,3月22日,3月29日,3月22日,3月25日,4月1日,4月2日,4月1日,3月26日,3月28日,3月27日,3月31日,3月25日,3月17日,3月28日,3月23日,4月4日,3月27日,3月23日,3月25日,3月25日,3月31日,4月1日,4月4日,3月19日,3月28日,3月27日,3月23日,3月28日,3月22日,3月25日
水戸,4月4日,4月1日,3月29日,4月9日,4月8日,4月4日,3月30日,4月4日,4月6日,4月9日,4月6日,4月6日,4月12日,4月1日,4月2日,4月4日,4月8日,4月13日,4月5日,3月31日,4月5日,4月10日,4月9日,4月5日,4月5日,4月11日,3月29日,4月9日,4月8日,4月1日,4月7日,4月20日,4月7日,4月10日,3月28日,4月6日,3月27日,3月25日,4月5日,3月31日,4月2日,4月5日,4月5日,4月7日,3月29日,3月31日,3月29日,4月3日,3月30日,3月20日,4月1日,3月27日,4月6日,3月30日,3月24日,3月27日,3月27日,4月2日,4月6日,4月6日,3月21日,3月29日,3月30日,3月28日,4月3日,3月25日,3月27日
敦賀,4月3日,3月30日,3月28日,4月4日,4月11日,4月5日,3月28日,3月30日,4月6日,4月5日,4月6日,4月5日,4月15日,3月29日,4月2日,4月7日,4月10日,4月13日,4月6日,4月4日,4月7日,4月7日,4月8日,3月30日,4月6日,4月10日,3月30日,4月6日,4月8日,3月30日,4月7日,4月17日,4月7日,4月9日,4月2日,4月12日,3月24日,3月25日,4月4日,3月29日,4月2日,4月5日,4月4日,4月6日,3月29日,3月29日,3月26日,4月7日,4月1日,3月24日,3月30日,3月28日,4月6日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
岐阜,4月3日,3月29日,3月27日,3月31日,4月8日,3月28日,3月22日,3月23日,4月2日,4月6日,4月4日,4月4日,4月9日,3月27日,3月30日,4月4日,4月3日,4月9日,3月31日,3月28日,3月31日,4月4日,4月1日,3月26日,3月28日,4月6日,3月29日,4月1日,3月30日,3月23日,4月2日,4月12日,3月29日,4月1日,3月26日,4月3日,3月16日,3月17日,3月28日,3月24日,3月27日,3月31日,3月27日,3月30日,3月22日,3月22日,3月23日,4月3日,3月25日,3月17日,3月24日,3月24日,4月2日,3月26日,3月23日,3月23日,3月18日,3月20日,3月28日,3月30日,3月21日,3月24日,3月23日,3月20日,3月28日,3月19日,3月22日
名古屋,4月3日,3月30日,3月29日,3月29日,4月8日,3月25日,3月23日,3月22日,3月31日,4月3日,4月2日,4月2日,4月8日,3月24日,3月29日,4月2日,4月1日,4月7日,3月31日,3月27日,3月30日,4月3日,3月31日,3月25日,3月26日,4月5日,3月27日,3月30日,3月28日,3月23日,3月31日,4月11日,3月28日,4月1日,3月25日,4月3日,3月17日,3月17日,3月28日,3月21日,3月26日,3月31日,3月27日,3月29日,3月23日,3月22日,3月24日,4月3日,3月26日,3月19日,3月24日,3月23日,3月31日,3月26日,3月23日,3月22日,3月19日,3月18日,3月27日,3月30日,3月19日,3月24日,3月21日,3月19日,3月28日,3月19日,3月22日
飯田,4月7日,4月3日,4月4日,4月6日,4月12日,4月5日,3月27日,3月30日,4月6日,4月11日,4月7日,4月9日,4月16日,4月5日,4月8日,4月9日,4月6日,4月16日,4月5日,4月4日,4月6日,4月10日,4月9日,4月1日,4月5日,4月14日,4月1日,4月8日,4月8日,4月1日,4月9日,4月19日,4月6日,4月12日,4月5日,4月14日,3月29日,3月28日,4月5日,3月30日,4月3日,4月6日,4月6日,4月8日,3月30日,3月30日,3月29日,4月10日,4月6日,3月27日,4月6日,4月2日,4月9日,4月7日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
甲府,3月30日,3月31日,3月29日,3月29日,4月7日,4月1日,3月24日,3月25日,4月2日,4月2日,4月2日,4月3日,4月7日,3月26日,4月1日,4月3日,4月3日,4月9日,3月30日,3月29日,4月1日,4月2日,4月2日,3月26日,3月25日,4月7日,3月27日,4月1日,3月29日,3月27日,4月4日,4月12日,3月30日,4月4日,3月26日,4月4日,3月25日,3月20日,3月29日,3月24日,3月26日,4月1日,3月31日,3月31日,3月22日,3月26日,3月18日,3月31日,3月25日,3月17日,3月27日,3月24日,3月31日,3月24日,3月21日,3月24日,3月20日,3月20日,3月29日,4月1日,3月19日,3月28日,3月25日,3月23日,3月30日,3月23日,3月27日
銚子,3月25日,3月26日,3月25日,3月29日,4月5日,4月1日,3月23日,3月26日,4月1日,4月1日,4月4日,4月3日,4月13日,3月23日,4月1日,3月31日,4月4日,4月10日,4月2日,3月29日,4月1日,4月2日,4月3日,3月26日,3月26日,4月8日,3月26日,4月5日,4月2日,3月26日,4月5日,4月16日,4月3日,4月8日,3月25日,4月3日,3月20日,3月21日,4月1日,3月28日,4月4日,4月4日,4月2日,3月31日,3月30日,4月3日,3月25日,4月4日,3月26日,3月19日,3月28日,3月30日,4月7日,3月25日,3月30日,3月25日,4月1日,4月1日,4月4日,4月2日,3月21日,3月29日,3月30日,4月1日,4月1日,3月20日,3月25日
津,4月1日,3月30日,3月31日,4月3日,4月8日,4月6日,3月23日,3月28日,4月3日,4月6日,4月6日,4月5日,4月12日,3月26日,3月30日,4月4日,4月8日,4月12日,4月3日,4月2日,4月1日,4月6日,4月4日,3月31日,3月31日,4月9日,3月30日,4月3日,3月28日,3月24日,4月3日,4月12日,3月30日,4月3日,3月25日,4月5日,3月25日,3月22日,4月1日,3月28日,4月2日,4月3日,4月3日,4月5日,3月28日,3月27日,3月27日,4月5日,3月28日,3月21日,3月28日,3月28日,4月3日,3月31日,3月26日,3月27日,3月23日,3月24日,4月1日,4月4日,3月25日,3月27日,3月29日,3月28日,4月3日,3月26日,3月28日
浜松,4月1日,3月28日,3月27日,4月5日,4月7日,4月2日,3月28日,3月29日,4月1日,4月6日,3月31日,4月2日,4月7日,3月22日,3月28日,3月31日,4月1日,4月3日,3月28日,3月27日,3月30日,3月29日,3月30日,3月20日,3月22日,4月3日,3月25日,3月31日,3月26日,3月23日,4月1日,4月6日,3月27日,3月30日,3月25日,4月3日,3月21日,3月17日,3月30日,3月26日,3月31日,4月3日,3月31日,3月28日,3月26日,3月24日,3月24日,4月3日,3月26日,3月19日,3月24日,3月27日,4月2日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
静岡,3月25日,3月27日,3月26日,3月28日,4月1日,3月25日,3月20日,3月24日,3月31日,4月2日,3月30日,4月1日,4月1日,3月19日,3月28日,3月29日,3月29日,4月2日,3月29日,3月27日,3月29日,3月29日,3月30日,3月23日,3月22日,4月6日,3月29日,3月31日,3月26日,3月23日,4月3日,4月6日,3月28日,3月30日,3月26日,4月3日,3月21日,3月20日,3月31日,3月24日,3月30日,4月2日,4月1日,3月26日,3月22日,3月21日,3月21日,3月30日,3月23日,3月15日,3月21日,3月18日,3月29日,3月17日,3月24日,3月22日,3月19日,3月17日,3月20日,3月24日,3月17日,3月24日,3月22日,3月27日,4月2日,3月18日,3月28日
東京,3月26日,3月26日,3月24日,3月26日,4月2日,3月30日,3月24日,3月23日,4月1日,4月1日,4月1日,4月2日,4月2日,3月20日,3月30日,3月29日,4月6日,4月7日,3月30日,3月28日,3月31日,4月2日,3月29日,3月22日,3月22日,3月31日,3月23日,3月31日,3月26日,3月23日,3月31日,4月11日,4月3日,4月3日,3月23日,4月2日,3月20日,3月20日,3月30日,3月24日,3月24日,3月31日,3月31日,3月31日,3月21日,3月27日,3月24日,3月30日,3月23日,3月16日,3月27日,3月18日,3月31日,3月21日,3月20日,3月22日,3月21日,3月22日,3月28日,3月31日,3月16日,3月25日,3月23日,3月21日,3月21日,3月17日,3月21日
尾鷲,3月22日,3月26日,3月21日,3月28日,4月5日,3月28日,3月18日,3月28日,3月28日,4月2日,4月1日,4月3日,4月7日,3月22日,3月27日,3月30日,4月1日,4月5日,3月28日,3月29日,3月30日,3月27日,3月31日,3月26日,3月24日,4月5日,3月31日,3月30日,3月26日,3月23日,4月3日,4月5日,3月29日,3月30日,3月28日,3月30日,3月17日,3月20日,3月29日,3月25日,3月27日,4月2日,3月31日,3月27日,3月27日,3月26日,3月22日,3月31日,3月26日,3月20日,3月22日,3月28日,4月2日,3月23日,3月23日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横浜,3月25日,3月26日,3月24日,3月28日,4月3日,3月25日,3月20日,3月21日,3月31日,3月29日,4月1日,4月4日,4月3日,3月19日,3月30日,3月29日,4月3日,4月4日,3月30日,3月28日,3月31日,4月1日,3月30日,3月25日,3月25日,4月5日,3月24日,4月1日,3月27日,3月23日,4月2日,4月10日,4月1日,4月2日,3月21日,4月2日,3月21日,3月18日,3月29日,3月23日,3月24日,4月1日,3月31日,3月29日,3月25日,3月28日,3月24日,3月29日,3月22日,3月15日,3月27日,3月18日,4月2日,3月21日,3月23日,3月23日,3月22日,3月22日,3月30日,4月2日,3月18日,3月25日,3月23日,3月23日,3月25日,3月19日,3月21日
館山,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4月1日,4月6日,3月30日,3月29日,3月31日,4月1日,4月2日,3月23日,3月23日,4月7日,3月31日,4月6日,4月1日,3月25日,4月6日,4月9日,4月3日,3月31日,3月25日,4月5日,3月25日,3月20日,4月3日,3月27日,4月2日,4月3日,4月5日,3月30日,3月30日,3月31日,3月30日,4月4日,3月25日,3月19日,3月27日,3月30日,4月3日,3月21日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
大島,4月5日,3月26日,NaN,3月20日,3月26日,NaN,3月21日,NaN,NaN,NaN,4月1日,4月3日,4月6日,3月17日,3月31日,3月29日,4月4日,4月3日,3月29日,3月29日,4月1日,4月1日,3月31日,3月29日,3月26日,4月4日,3月30日,4月3日,3月29日,3月24日,4月3日,4月7日,4月3日,4月1日,3月29日,4月5日,3月22日,3月20日,3月27日,3月26日,4月1日,4月3日,4月1日,3月28日,3月27日,3月28日,3月22日,4月2日,3月24日,3月17日,3月25日,3月25日,3月29日,3月20日,3月26日,3月24日,3月26日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
三宅島,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3月28日,3月17日,3月25日,3月28日,3月25日,NaN,3月27日,3月30日,4月1日,3月25日,4月2日,3月25日,3月20日,4月4日,3月31日,3月31日,3月26日,3月26日,4月2日,4月4日,3月25日,3月29日,3月30日,4月4日,3月16日,3月20日,3月28日,3月31日,4月1日,4月3日,4月5日,3月28日,3月24日,3月28日,3月21日,4月4日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
八丈島,3月27日,4月3日,3月21日,3月28日,4月2日,4月4日,4月1日,4月3日,4月1日,4月2日,4月1日,4月5日,4月7日,3月28日,3月28日,3月25日,4月23日,4月6日,4月2日,4月15日,4月7日,3月30日,4月7日,3月26日,3月26日,4月8日,4月15日,4月4日,3月25日,3月29日,4月6日,4月2日,3月28日,3月27日,4月9日,4月3日,3月29日,3月30日,4月3日,3月30日,4月9日,4月4日,4月2日,3月23日,3月30日,4月1日,3月26日,4月6日,3月29日,3月28日,3月28日,3月26日,4月8日,3月19日,4月13日,3月30日,4月4日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西郷,4月6日,3月31日,3月31日,4月6日,4月9日,4月1日,3月25日,3月28日,4月3日,4月7日,4月9日,4月7日,4月12日,3月30日,4月1日,4月7日,4月13日,4月14日,4月8日,4月6日,4月7日,4月10日,4月8日,4月3日,4月3日,4月8日,4月1日,4月8日,4月5日,4月1日,4月7日,4月17日,4月7日,4月9日,3月31日,4月11日,3月30日,3月27日,4月9日,3月31日,4月2日,4月7日,4月6日,4月13日,3月31日,3月30日,4月3日,4月7日,4月2日,3月25日,4月3日,3月28日,4月7日,4月4日,3月28日,4月3日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
松江,4月2日,3月31日,3月29日,4月5日,4月10日,4月5日,3月27日,3月29日,4月1日,4月5日,4月10日,4月5日,4月12日,3月28日,3月31日,4月5日,4月10日,4月9日,4月6日,4月4日,4月1日,4月6日,4月7日,4月2日,4月1日,4月8日,3月31日,4月3日,4月4日,3月30日,4月6日,4月13日,4月5日,4月7日,3月30日,4月10日,3月28日,3月24日,4月7日,3月30日,4月1日,4月5日,4月3日,4月6日,3月28日,3月26日,3月29日,4月2日,3月26日,3月22日,3月31日,3月21日,4月5日,3月28日,3月26日,4月1日,3月22日,3月22日,4月6日,4月6日,3月23日,3月27日,3月29日,3月23日,4月1日,3月26日,3月26日
米子,NaN,4月5日,3月27日,4月7日,4月10日,4月4日,3月26日,3月29日,4月1日,4月5日,4月5日,4月3日,4月13日,3月29日,4月1日,4月4日,4月9日,4月9日,4月5日,3月31日,3月31日,4月5日,4月6日,3月31日,3月31日,4月8日,3月31日,4月5日,4月3日,3月30日,4月5日,4月14日,4月4日,4月8日,3月30日,4月11日,3月29日,3月24日,4月5日,3月31日,4月1日,4月5日,4月4日,4月6日,3月28日,3月27日,3月27日,4月3日,3月25日,3月20日,3月30日,3月21日,4月4日,4月1日,3月25日,3月31日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
鳥取,4月3日,4月1日,3月29日,4月3日,4月10日,4月4日,3月28日,3月30日,4月4日,4月4日,4月6日,4月5日,4月12日,3月29日,3月31日,4月4日,4月8日,4月10日,4月5日,3月30日,4月1日,4月4日,4月4日,3月31日,4月2日,4月8日,3月30日,4月5日,3月31日,3月30日,4月6日,4月13日,4月4日,4月7日,3月29日,4月11日,3月29日,3月24日,4月5日,3月31日,4月1日,4月5日,4月4日,4月6日,3月28日,3月26日,3月26日,4月5日,3月26日,3月22日,3月31日,3月24日,4月5日,4月1日,3月25日,3月29日,3月22日,3月25日,4月2日,4月3日,3月20日,3月27日,3月28日,3月23日,4月2日,3月24日,3月26日
豊岡,4月5日,4月2日,4月1日,4月5日,4月8日,4月5日,3月25日,3月29日,4月3日,4月7日,4月8日,4月4日,4月14日,4月1日,4月3日,4月6日,4月9日,4月14日,4月7日,4月2日,4月4日,4月7日,4月8日,4月3日,4月7日,4月10日,3月30日,4月5日,4月5日,3月31日,4月4日,4月16日,4月8日,4月10日,4月4日,4月13日,3月30日,3月28日,4月6日,4月2日,4月3日,4月6日,4月6日,4月9日,4月1日,3月28日,3月29日,4月8日,3月28日,3月26日,4月3日,3月28日,4月7日,4月4日,3月26日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
舞鶴,4月1日,3月30日,3月29日,3月31日,4月11日,4月4日,3月27日,3月30日,4月4日,4月3日,4月3日,4月5日,4月13日,4月2日,4月2日,4月6日,4月9日,4月14日,4月6日,3月31日,4月4日,4月7日,4月7日,4月4日,4月3日,4月10日,3月30日,4月6日,4月5日,3月30日,4月5日,4月16日,4月6日,4月9日,4月4日,4月12日,3月30日,3月26日,4月5日,3月31日,4月3日,4月6日,4月6日,4月9日,4月2日,3月28日,3月31日,4月10日,3月29日,3月25日,4月3日,3月27日,4月7日,4月5日,3月31日,4月2日,3月25日,3月27日,4月5日,4月9日,3月25日,NaN,NaN,NaN,NaN,NaN,NaN
浜田,3月23日,3月26日,3月22日,4月2日,4月5日,3月25日,3月23日,3月26日,3月30日,3月28日,4月4日,4月1日,4月1日,3月20日,3月26日,4月2日,4月3日,4月4日,4月2日,4月3日,3月28日,4月2日,3月31日,3月24日,3月25日,4月4日,3月28日,4月1日,3月28日,3月23日,4月4日,4月9日,4月1日,4月3日,3月26日,4月6日,3月26日,3月20日,4月4日,3月26日,3月30日,4月2日,3月31日,3月30日,3月27日,3月23日,3月28日,3月30日,3月24日,3月17日,3月29日,3月21日,4月1日,3月26日,3月25日,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
